ID,Ref_code,Precio,Ubicacion,Ciudad,Habitaciones,Banos,Superficie,Planta,Link,Portal_web,Fecha
1,97246958,1200,Gràcia,Barcelona,2,1,80,1,Idealista,https://www.idealista.com/inmueble/97246958/,2022-04-03
2,97246857,1100,Sarrià-Sant Gervasi,Barcelona,1,1,50,2,Idealista,https://www.idealista.com/inmueble/97246857/,2022-04-03
3,97246725,1600,Eixample,Barcelona,2,1,80,9,Idealista,https://www.idealista.com/inmueble/97246725/,2022-04-03
4,81122133,3000,Sarrià-Sant Gervasi,Barcelona,1,1,66,NA,Idealista,https://www.idealista.com/inmueble/81122133/,2022-04-03
5,97016501,2850,Sarrià-Sant Gervasi,Barcelona,2,2,110,NA,Idealista,https://www.idealista.com/inmueble/97016501/,2022-04-03
6,97245866,8000,Sant Martí,Barcelona,3,2,210,6,Idealista,https://www.idealista.com/inmueble/97245866/,2022-04-03
7,97245820,850,La Roureda,Barcelona,3,2,85,2,Idealista,https://www.idealista.com/inmueble/97245820/,2022-04-03
8,91002718,1500,Eixample,Barcelona,2,1,65,8,Idealista,https://www.idealista.com/inmueble/91002718/,2022-04-03
9,97245765,1400,Torreblanca,Barcelona,2,1,80,4,Idealista,https://www.idealista.com/inmueble/97245765/,2022-04-03
10,96424684,1300,Sarrià-Sant Gervasi,Barcelona,1,1,65,1,Idealista,https://www.idealista.com/inmueble/96424684/,2022-04-03
11,38914573,3500,Eixample,Barcelona,3,2,145,4,Idealista,https://www.idealista.com/inmueble/38914573/,2022-04-03
12,40461428,2149,Sarrià-Sant Gervasi,Barcelona,5,3,140,4,Idealista,https://www.idealista.com/inmueble/40461428/,2022-04-03
13,40492046,2630,Sarrià-Sant Gervasi,Barcelona,3,2,120,bj,Idealista,https://www.idealista.com/inmueble/40492046/,2022-04-03
14,89309197,20000,Sarrià-Sant Gervasi,Barcelona,10,6,620,NA,Idealista,https://www.idealista.com/inmueble/89309197/,2022-04-03
15,95925905,4500,Sarrià-Sant Gervasi,Barcelona,4,4,211,NA,Idealista,https://www.idealista.com/inmueble/95925905/,2022-04-03
16,96541791,4800,Sarrià-Sant Gervasi,Barcelona,6,6,367,NA,Idealista,https://www.idealista.com/inmueble/96541791/,2022-04-03
17,96543521,3300,Eixample,Barcelona,5,4,183,8,Idealista,https://www.idealista.com/inmueble/96543521/,2022-04-03
18,96543933,2700,Les Corts,Barcelona,3,3,82,NA,Idealista,https://www.idealista.com/inmueble/96543933/,2022-04-03
19,96648329,1950,Sarrià-Sant Gervasi,Barcelona,3,2,86,NA,Idealista,https://www.idealista.com/inmueble/96648329/,2022-04-03
20,96872070,2550,Sarrià-Sant Gervasi,Barcelona,4,3,185,NA,Idealista,https://www.idealista.com/inmueble/96872070/,2022-04-03
21,163001940,1000,Horta - Guinardó,Barcelona,2,1,85,3ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-no-amueblado/163001940/d,2022-04-03
22,162374941,1210,Ciutat Vella,Barcelona,1,1,45,1ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/162374941/d,2022-04-03
23,161959316,930,Sants - Montjuïc,Barcelona,1,1,33,5ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-amueblado-television-internet/161959316/d,2022-04-03
24,163117638,2800,Ciutat Vella,Barcelona,3,2,170,Principal,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/163117638/d,2022-04-03
25,163101020,960,Ático en Sarrià - Sant Gervasi,Barcelona,1,1,66,2ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza/163101020/d,2022-04-03
26,163088916,1690,Sarrià - Sant Gervasi,Barcelona,4,2,120,3ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-zona-comunitaria-ascensor-parking-piscina-no-amueblado/163088916/d,2022-04-03
27,163070949,2200,Sarrià - Sant Gervasi,Barcelona,3,2,128,1ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-se-aceptan-mascotas-no-amueblado/163070949/d,2022-04-03
28,163068187,750,Sants - Montjuïc,Barcelona,2,1,48,2ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/sants-badal/163068187/d,2022-04-03
29,163052942,1050,Eixample,Barcelona,1,1,50,7ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/163052942/d,2022-04-03
30,163036673,2200,Sarrià - Sant Gervasi,Barcelona,3,2,130,3ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor/163036673/d,2022-04-03
31,163028832,2900,Sarrià - Sant Gervasi,Barcelona,5,3,138,4ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/163028832/d,2022-04-03
